date,close,open
19910101,145,8.6
19920101,113,9.8
19930101,118,10.2
19940101,132,9.3
19950101,150,8.5
19960101,164,7.9
19970101,182,6.8
19980101,214,6.1
19990101,239.479,5.9
20000101,260.424,5.4
20010101,262.239,5
20020101,288.77,5.1
20030101,327.405,5
20040101,434.322,4.7
20050101,405.111,4.8
20060101,451.702,5.4
20070101,455,5.3
20080101,456,5.6
20090101,430,7.6
20100101,459,7.8
20110101,453,8.1
20120101,383,7.9
20130101,406,7.6
